id,first,last,ssn,dob
1,Harry,Medina,508069129,1988-07-03
2,Walter,Carr,782526477,1987-02-23
3,Susan,Morgan,837315786,1955-09-12
4,Katherine,Diaz,717899840,1996-07-20
5,Elizabeth,Lynch,574553694,1990-07-16
6,William,Kelley,675479392,1982-04-18
7,Gerald,Gray,957995305,1974-01-05
8,Linda,Hunter,732975076,1992-04-09
9,Victor,Reyes,777387014,1948-03-07
10,Bruce,Bowman,327083573,1945-04-19
11,Jason,Anderson,112094854,1994-12-02
12,Katherine,Robertson,199198001,1985-05-06
13,Fred,Snyder,457899132,1948-05-09
14,Shirley,Warren,412672462,1986-08-10
15,Cynthia,Fowler,242212912,1969-10-09
16,Susan,Romero,536727492,1959-02-22
17,Heather,Henry,511550838,1963-04-28
18,Frances,Boyd,431704107,1974-10-10
19,Benjamin,Meyer,239722110,1940-12-17
20,Adam,Rodriguez,764937272,1980-04-26
21,Robin,George,289706140,1959-12-07
22,Jonathan,Knight,067589571,1989-08-24
23,Ruby,Nguyen,725593863,1980-10-28
24,Heather,Lawson,730359316,1970-11-08
25,Helen,Diaz,444999203,1944-08-02
26,Dorothy,Oliver,254565394,1968-05-02
27,Sharon,Watson,450241794,1984-06-14
28,Cynthia,Holmes,938911579,1953-12-17
29,Katherine,Willis,503045342,1965-10-21
30,Sarah,Kelly,246973582,1965-09-28
31,Julie,Burke,814314084,1965-02-03
32,Chris,Kennedy,393629005,1962-11-15
33,Susan,Smith,181143733,1976-01-02
34,Pamela,Thomas,450269245,1961-02-13
35,Richard,Fields,788614149,1969-08-06
36,Frank,Rogers,266479823,1953-01-12
37,Marie,Johnston,124973305,1978-04-03
38,Gary,Hill,183287027,1964-04-11
39,Mary,Washington,933447814,1973-04-11
40,Adam,Mills,920212974,1947-10-25
41,Adam,Snyder,565418165,1970-10-23
42,Samuel,Adams,141997695,1941-03-08
43,Amy,Gilbert,317547759,1940-06-28
44,Terry,Johnston,131591527,1980-07-25
45,Benjamin,Flores,732350985,1955-01-04
46,Lisa,Murray,861283813,1956-12-31
47,Cynthia,Henderson,428011857,1966-04-19
48,Howard,Watkins,770484225,1971-05-24
49,Marie,Smith,560096881,1959-04-09
50,Wanda,Nguyen,469995574,1964-01-07
51,Todd,Stanley,348912018,1976-03-18
52,Denise,Wood,330187343,1973-03-15
53,Jessica,George,163822951,1944-02-10
54,Maria,Clark,841379473,1944-05-05
55,Nicholas,Elliott,264987561,1976-06-10
56,Kathy,Lee,080727555,1977-11-14
57,Benjamin,Fuller,144554931,1961-11-27
58,Arthur,Armstrong,570798211,1947-03-09
59,Andrew,Woods,812763231,1962-04-24
60,Roger,Simpson,829498465,1984-06-29
61,Wanda,Warren,223809549,1963-01-23
62,Willie,George,079665349,1950-07-20
63,Lisa,Martinez,887236200,1958-12-26
64,Bruce,Butler,127768718,1960-01-06
65,Steve,Jones,158423661,1948-12-07
66,Joshua,Hudson,038053752,1980-10-20
67,Marie,Parker,124028520,1947-09-03
68,Kathryn,Hall,770300123,1965-04-10
69,Aaron,Sims,022894405,1947-05-29
70,Jennifer,Kelly,874006974,1988-01-30
71,Jonathan,Foster,159538980,1990-07-20
72,Betty,Richards,623458085,1972-12-29
73,Steve,Crawford,353258618,1993-11-16
74,Gerald,Duncan,979256364,1982-10-12
75,Louis,Rodriguez,262700017,1956-12-12
76,Jessica,Sanchez,889796295,1940-10-16
77,Justin,Mills,651535104,1997-09-30
78,Jason,Nguyen,772876892,1942-06-16
79,Mary,Kennedy,415547581,1966-06-09
80,Robert,Stanley,438870670,1954-12-21
81,Linda,Kennedy,608195393,1965-11-29
82,Kenneth,Clark,629940387,1976-10-12
83,Ralph,Mason,014820325,1998-09-23
84,Rebecca,James,447878824,1978-03-09
85,Antonio,Weaver,336852143,1984-04-03
