id,first,last,ssn,dob
1,Bonnie,Young,043252467,1960-04-08
2,Bobby,Fowler,793237347,1976-01-27
3,Stephanie,Diaz,750770158,1985-07-21
4,Lillian,Hill,335094375,1982-07-27
5,Ralph,Peterson,962889562,1999-05-06
6,Alan,Rodriguez,143927380,1992-04-04
7,Jonathan,Matthews,397848229,1982-12-31
8,Justin,Oliver,113604808,1988-02-26
9,Judy,Kelly,992779592,1987-03-09
10,Annie,Chavez,471866555,1966-09-04
11,Paul,Olson,926820760,1955-04-10
12,Mary,Foster,560752460,1980-09-30
13,Steve,Nichols,036387242,1983-03-01
14,Ruby,Henry,652259417,1972-12-30
15,Evelyn,Hunter,398463693,1984-06-18
16,Susan,Crawford,801943317,1950-10-29
17,Julie,Simmons,357363306,1998-01-04
18,Kimberly,Morris,061399409,1944-09-18
19,Douglas,Lynch,698754316,1998-01-09
20,Ann,Clark,412064118,1940-04-20
21,Sharon,Carter,023682090,1992-07-03
22,Bonnie,Montgomery,903096760,1972-11-28
23,Jimmy,Day,242831283,1998-12-01
24,Phyllis,Torres,733910929,1977-02-10
25,Bruce,Young,238686606,1995-08-28
26,Anthony,Payne,921310757,1972-05-23
27,Cynthia,Adams,375385724,1977-05-22
28,Kathleen,Hart,475496477,1962-05-12
29,Fred,James,823690195,1995-04-12
30,Benjamin,Wallace,754679630,1962-02-13
31,Thomas,Burton,338718406,1970-04-20
32,Maria,Morris,660009782,1944-10-05
33,Lillian,Harris,083760790,1951-07-18
34,Evelyn,Holmes,174261634,1954-04-28
35,Bobby,Martinez,921267215,1999-02-04
36,Victor,Griffin,710360031,1952-10-27
37,William,Snyder,241016430,1955-11-30
38,Jonathan,Fernandez,281031519,1965-09-04
39,John,Dixon,168606372,1955-10-16
40,Ronald,Payne,574971536,1985-10-03
41,Lois,Powell,708719443,1973-03-12
42,Jacqueline,Miller,729450907,1944-04-28
43,Jason,Bryant,740417702,1949-06-20
44,Nicholas,Rivera,967312628,1974-06-29
45,Victor,Moore,107087737,1985-02-10
46,Andrea,Harris,126309962,1961-04-11
47,Judy,Henderson,333094195,1976-01-03
48,Daniel,Ellis,696631640,1990-02-24
49,Betty,Johnston,428705491,1962-07-03
50,Wanda,Rose,739937500,1980-08-24
51,Rose,Bowman,013326765,1991-03-04
52,Shirley,Rivera,561101634,1952-12-05
53,Howard,Wilson,334157097,1947-11-22
54,Timothy,Burton,376180386,1968-07-21
55,Philip,James,356640165,1985-12-02
56,Richard,Banks,945774026,1964-09-25
57,Jack,Mills,362815090,1949-02-10
58,Laura,Roberts,628241949,1956-05-04
59,Eugene,Edwards,844043069,1982-11-19
60,Philip,Reed,380755924,1950-06-02
61,Brenda,Romero,383054321,1941-02-14
62,Gary,Lynch,426829669,1941-08-29
63,Emily,Lane,056743387,1963-04-20
64,Stephanie,Washington,687098395,1989-08-03
65,Charles,Torres,652361042,1960-08-04
66,Roy,Lewis,018975348,1951-02-19
67,Linda,Hart,222474003,1974-04-12
68,Debra,Lee,964349485,1988-02-03
69,Christina,Gomez,044524348,1953-05-22
70,Wanda,Gonzalez,551008922,1998-01-08
71,Philip,Oliver,491193192,1975-09-27
72,Diane,Chavez,987245695,1990-12-24
73,Charles,Robertson,866886699,1952-08-07
74,Annie,Wells,196037920,1999-11-11
75,Alice,Green,426093413,1984-12-20
76,Bruce,Sims,992053706,1998-09-05
77,Ruby,Fernandez,872798123,1961-01-06
78,Joan,Kim,518089784,1954-04-08
79,Lisa,Sims,832999340,1964-05-25
80,Julie,Chavez,764827178,1951-08-30
