visit_id,ssn,num,temp,sys,dia
1,508069219,1,95,122,75
2,5080691299,2,95,130,79
3,728526477,1,98,120,72
4,782526477,2,99,116,70
5,782526477,3,95,117,72
6,837315786,1,98,98,64
7,8373157867,2,99,98,60
8,833715786,3,95,99,62
9,837315786,4,98,92,60
10,574553694,1,98,103,67
11,574553694,2,98,104,67
12,574553694,3,96,107,66
13,7329750766,1,98,114,68
14,732975076,2,98,105,67
15,777387014,1,99,123,73
16,7773878014,2,96,120,76
17,112094854,1,98,96,63
18,110294854,2,95,96,63
19,199198001,1,98,99,60
20,199198001,2,99,97,64
21,457899132,1,95,114,72
22,457899132,2,99,112,68
23,242212912,1,95,105,63
24,242221912,2,95,97,64
25,511550838,1,99,101,64
26,511550838,2,97,101,66
27,431704107,1,97,127,79
28,431704107,2,99,126,76
29,431701407,3,96,124,79
30,431704107,4,97,125,78
31,764937272,1,96,127,74
32,764937272,2,97,121,77
33,7649372772,3,98,125,75
34,067589571,1,97,118,70
35,067589571,2,97,113,71
36,067589571,3,96,112,71
37,0675899571,4,97,113,71
38,725593863,1,95,120,73
39,725598363,2,99,118,74
40,730539316,1,98,99,61
41,730359316,2,96,94,65
42,444999203,1,97,104,65
43,444999203,2,98,97,66
44,4502417945,1,97,99,60
45,938911579,1,96,119,70
46,938911579,2,95,114,71
47,938911579,3,99,112,73
48,938911579,4,98,120,73
49,841314084,1,99,113,70
50,8144314084,2,96,113,71
51,814314084,3,96,112,72
52,393629005,1,95,131,77
53,339629005,2,96,125,77
54,393629005,3,96,123,77
55,393629005,4,95,128,77
56,181143733,1,98,116,73
57,450269425,1,99,111,68
58,450269245,2,95,112,69
59,266479823,1,97,134,80
60,266478923,2,95,138,83
61,124973305,1,95,128,79
62,224973305,2,96,130,79
63,124973306,3,99,130,78
64,124973305,4,95,127,80
65,183287027,1,99,109,68
66,183287027,2,99,103,65
67,1832987027,3,98,104,66
68,933447814,1,98,114,73
69,933447813,2,97,110,72
70,920212974,1,96,120,75
71,920212974,2,96,118,75
72,922012974,3,98,121,74
73,9202129745,4,95,118,74
74,565418165,1,98,129,79
75,565418165,2,95,127,76
76,141997695,1,97,125,76
77,141998695,2,99,123,78
78,241997695,3,99,127,77
79,317547759,1,95,131,78
80,3175477549,2,95,125,76
81,131591527,1,96,127,80
82,131591527,2,98,126,79
83,131591257,3,99,134,79
84,732350085,1,97,107,65
85,732350985,2,98,105,64
86,732350986,3,95,99,66
87,732350985,4,95,105,64
88,861283813,1,95,111,70
89,8761283813,2,99,116,72
90,861238813,3,95,111,73
91,961283813,4,96,115,69
92,428011858,1,97,125,77
93,560096881,1,97,122,74
94,560097881,2,99,119,77
95,469995574,1,99,103,62
96,469959574,2,95,100,65
97,469995574,3,95,103,64
98,469995574,4,95,96,65
99,348912018,1,95,125,77
100,348912018,2,98,128,77
101,3489112018,3,99,130,77
102,3489212018,4,96,126,79
103,330187344,1,97,124,77
104,330187343,2,95,126,74
105,163822951,1,98,122,79
106,162822951,2,95,125,75
107,163822851,3,99,126,76
108,841379473,1,96,117,73
109,8413794733,2,96,123,73
110,8421379473,3,98,122,75
111,144559431,1,99,96,66
112,570798211,1,95,125,76
113,570798211,2,97,123,75
114,570798211,3,98,120,77
115,812763231,1,99,115,71
116,829498465,1,98,111,70
117,829498465,2,96,114,70
118,829498455,3,95,120,74
119,2238089549,1,98,123,72
120,2223809549,2,98,118,75
121,127758718,1,97,113,68
122,127678718,2,99,112,71
123,1584232661,1,99,103,67
124,1584232661,2,99,100,64
125,124028520,1,99,112,69
126,779300123,1,99,118,74
127,770300123,2,99,122,73
128,770300123,3,97,125,73
129,028294405,1,97,94,64
130,022894405,2,96,101,62
131,0228944056,3,96,93,62
132,022994405,4,95,94,65
133,874006974,1,95,106,68
134,159538980,1,98,113,74
135,159538980,2,99,118,71
136,159538980,3,98,114,71
137,623458085,1,96,129,79
138,623458085,2,99,129,75
139,623458085,3,95,123,76
140,979256364,1,96,113,74
141,889786295,1,98,111,71
142,651535104,1,99,124,75
143,415547581,1,96,120,74
144,438870670,1,96,114,73
145,4388706700,2,96,117,71
146,438870670,3,95,118,72
147,629940387,1,97,114,72
148,629940387,2,95,116,69
149,629940387,3,96,117,73
150,014823025,1,95,123,74
151,447878824,1,97,111,70
152,4447878824,2,99,112,70
153,336852143,1,99,107,67
